company_id,year,roe_difference,roce_difference,category
BHARTIARTL,Mar 2013,10.4,8.6,Formula Difference
BHARTIARTL,Mar 2014,9.850000000000001,8.05,Formula Difference
BHARTIARTL,Mar 2017,8.61,6.81,Formula Difference
BHARTIARTL,Mar 2018,11.76,9.959999999999999,Formula Difference
BHARTIARTL,Mar 2019,12.540000000000001,10.74,Formula Difference
BHARTIARTL,Mar 2020,54.65,52.85,Formula Difference
BHARTIARTL,Mar 2021,35.87,34.07,Formula Difference
BEL,Mar 2013,15157.03,15148.73,Formula Difference
BEL,Mar 2014,13573.7,13565.4,Formula Difference
BEL,Mar 2015,17073.7,17065.4,Formula Difference
BEL,Mar 2016,11115.37,11107.07,Formula Difference
BEL,Mar 2017,10127.03,10118.73,Formula Difference
BEL,Mar 2018,4589.83,4581.53,Formula Difference
BEL,Mar 2019,3824.72,3816.42,Formula Difference
BEL,Mar 2020,3291.8799999999997,3283.58,Formula Difference
BEL,Mar 2021,3533.02,3524.7200000000003,Formula Difference
BEL,Mar 2022,3451.96,3443.6600000000003,Formula Difference
BEL,Mar 2023,3955.0299999999997,3946.73,Formula Difference
BEL,Mar 2024,4717.75,4709.45,Formula Difference
BHEL,Mar 2013,20.86,18.63,Formula Difference
BHEL,Mar 2014,9.51,7.280000000000001,Formula Difference
BHEL,Mar 2016,3.2300000000000004,5.46,Formula Difference
BHEL,Mar 2020,6.17,8.4,Formula Difference
BHEL,Mar 2021,11.440000000000001,13.67,Formula Difference
BOSCHLTD,Dec 2013,1.9399999999999995,6.540000000000001,Formula Difference
BOSCHLTD,Mar 2018,2.26,6.860000000000001,Formula Difference
BOSCHLTD,Mar 2020,8.99,13.590000000000002,Formula Difference
BOSCHLTD,Mar 2021,11.09,15.690000000000001,Formula Difference
BOSCHLTD,Mar 2022,4.609999999999999,9.21,Formula Difference
BOSCHLTD,Mar 2023,3.0700000000000003,7.670000000000002,Formula Difference
BPCL,Mar 2013,30.36,20.560000000000002,Formula Difference
BPCL,Mar 2014,21.049999999999997,11.25,Formula Difference
BPCL,Mar 2015,19.38,9.580000000000002,Formula Difference
BPCL,Mar 2016,12.799999999999997,3.0,Formula Difference
BPCL,Mar 2017,11.049999999999997,1.25,Formula Difference
BPCL,Mar 2018,15.16,5.360000000000003,Formula Difference
BPCL,Mar 2019,19.9,10.100000000000001,Formula Difference
BPCL,Mar 2020,31.86,22.060000000000002,Formula Difference
BPCL,Mar 2021,9.559999999999995,0.240000000000002,Formula Difference
BPCL,Mar 2022,19.389999999999997,9.59,Formula Difference
BPCL,Mar 2023,37.92,28.12,Formula Difference
BPCL,Mar 2024,6.390000000000001,3.4099999999999966,Formula Difference
BRITANNIA,Mar 2013,10.509999999999998,2.309999999999995,Formula Difference
BRITANNIA,Mar 2014,7.600000000000001,0.6000000000000014,Formula Difference
BRITANNIA,Mar 2015,1.759999999999998,6.440000000000005,Formula Difference
BRITANNIA,Mar 2016,17.660000000000004,9.46,Formula Difference
BRITANNIA,Mar 2017,24.270000000000003,16.07,Formula Difference
BRITANNIA,Mar 2018,27.62,19.419999999999998,Formula Difference
BRITANNIA,Mar 2019,29.94,21.74,Formula Difference
BRITANNIA,Mar 2020,25.44,17.24,Formula Difference
BRITANNIA,Mar 2022,2.1700000000000017,10.370000000000005,Formula Difference
BRITANNIA,Mar 2023,8.43,16.630000000000003,Formula Difference
BRITANNIA,Mar 2024,2.950000000000003,5.25,Formula Difference
CANBK,Mar 2013,5.999999999999998,5.2700000000000005,Formula Difference
CANBK,Mar 2014,9.049999999999999,2.2199999999999998,Formula Difference
CANBK,Mar 2015,8.879999999999999,2.3899999999999997,Formula Difference
CANBK,Mar 2016,25.72,14.45,Formula Difference
CANBK,Mar 2017,13.829999999999998,2.5599999999999996,Formula Difference
CANBK,Mar 2018,28.4,17.13,Formula Difference
CANBK,Mar 2019,16.049999999999997,4.779999999999999,Formula Difference
CANBK,Mar 2020,22.56,11.29,Formula Difference
CANBK,Mar 2021,13.159999999999998,1.8899999999999997,Formula Difference
CANBK,Mar 2022,9.099999999999998,2.170000000000001,Formula Difference
CANBK,Mar 2023,3.369999999999999,7.8999999999999995,Formula Difference
CANBK,Mar 2024,1.1799999999999997,10.09,Formula Difference
CHOLAFIN,Mar 2013,4.42,5.379999999999999,Formula Difference
CHOLAFIN,Mar 2014,4.109999999999999,5.6899999999999995,Formula Difference
CHOLAFIN,Mar 2015,3.599999999999998,6.200000000000001,Formula Difference
CHOLAFIN,Mar 2016,4.529999999999999,5.27,Formula Difference
CHOLAFIN,Mar 2017,3.4899999999999984,6.3100000000000005,Formula Difference
CHOLAFIN,Mar 2018,2.289999999999999,7.51,Formula Difference
CHOLAFIN,Mar 2019,0.9199999999999982,8.88,Formula Difference
CHOLAFIN,Mar 2020,7.35,2.4499999999999993,Formula Difference
CHOLAFIN,Mar 2021,4.359999999999999,5.4399999999999995,Formula Difference
CHOLAFIN,Mar 2022,1.8999999999999986,7.9,Formula Difference
CHOLAFIN,Mar 2023,1.620000000000001,8.179999999999998,Formula Difference
CHOLAFIN,Mar 2024,2.7399999999999984,7.0600000000000005,Formula Difference
CIPLA,Mar 2013,0.3299999999999983,5.670000000000002,Formula Difference
CIPLA,Mar 2014,2.83,8.83,Formula Difference
CIPLA,Mar 2015,5.42,11.42,Formula Difference
CIPLA,Mar 2016,4.790000000000001,10.790000000000001,Formula Difference
CIPLA,Mar 2017,8.55,14.55,Formula Difference
CIPLA,Mar 2018,6.84,12.84,Formula Difference
CIPLA,Mar 2019,6.860000000000001,12.860000000000001,Formula Difference
CIPLA,Mar 2020,7.280000000000001,13.280000000000001,Formula Difference
CIPLA,Mar 2021,3.7600000000000016,9.760000000000002,Formula Difference
CIPLA,Mar 2022,4.58,10.58,Formula Difference
CIPLA,Mar 2023,4.700000000000001,10.700000000000001,Formula Difference
CIPLA,Mar 2024,1.25,7.25,Formula Difference
COALINDIA,Mar 2013,16.189999999999998,27.79,Formula Difference
